Name,Count,Ave_score,Ave_score_save,Win_count,Win_rate,Save_count,Save_rate
Phreaky Friday +,1,4.0,4.0,0,0.0,1,100.0
Phreaky Friday,2,7.5,0.0,0,0.0,0,0.0
Team Building,1,4.0,4.0,0,0.0,1,100.0
The Golden Egg,1,2.0,2.0,0,0.0,1,100.0
Living Forge,1,8.0,0.0,0,0.0,0,0.0
Tiny Titans,1,4.0,4.0,0,0.0,1,100.0
Young and Wild and Free,1,1.0,1.0,1,100.0,1,100.0
Ba-BOOM!,2,4.5,1.0,1,50.0,1,50.0
Gifts from the Fallen,2,3.0,1.0,1,50.0,1,50.0
"Tiny, but Deadly",2,3.0,3.0,0,0.0,2,100.0
Scapegoat,2,3.5,1.0,1,50.0,1,50.0
Pick of the Litter+,1,5.0,0.0,0,0.0,0,0.0
Scoreboard Scrapper,1,4.0,4.0,0,0.0,1,100.0
Wandering Trainer II,2,5.5,0.0,0,0.0,0,0.0
Fully Adapted,1,4.0,4.0,0,0.0,1,100.0
You Have My Bow,1,8.0,0.0,0,0.0,0,0.0
Cybernetic Bulk I,1,6.0,0.0,0,0.0,0,0.0
Unified Resistance I,1,2.0,2.0,0,0.0,1,100.0
Best Friends II,3,3.3,3.3,0,0.0,3,100.0
Best Friends I,2,3.5,3.5,0,0.0,2,100.0
Unified Resistance II,4,3.5,1.5,1,25.0,2,50.0
Buried Treasures III,3,6.0,0.0,0,0.0,0,0.0
Martyr,3,4.7,3.0,0,0.0,1,33.3
Teaming Up I,1,1.0,1.0,1,100.0,1,100.0
Lunch Money,1,7.0,0.0,0,0.0,0,0.0
Teaming Up II,1,2.0,2.0,0,0.0,1,100.0
Not Today,2,6.0,0.0,0,0.0,0,0.0
Hedge Fund,1,7.0,0.0,0,0.0,0,0.0
Stationary Support III,1,2.0,2.0,0,0.0,1,100.0
Stationary Support II,2,4.5,4.0,0,0.0,1,50.0
Slammin',3,2.7,1.5,1,33.3,2,66.7
Exiles I,1,6.0,0.0,0,0.0,0,0.0
Inspiring Epitaph,2,7.0,0.0,0,0.0,0,0.0
Keepers I,2,3.5,2.0,0,0.0,1,50.0
Blistering Strikes,2,4.5,1.0,1,50.0,1,50.0
"One, Two, Five!",1,6.0,0.0,0,0.0,0,0.0
 The Golden Remover,1,2.0,2.0,0,0.0,1,100.0
Support Cache,3,6.0,3.0,0,0.0,1,33.3
Roll The Dice,2,5.5,3.0,0,0.0,1,50.0
Recombobulator,1,5.0,0.0,0,0.0,0,0.0
Little Buddies,2,2.5,2.5,1,50.0,2,100.0
Raining Gold,1,5.0,0.0,0,0.0,0,0.0
Wandering Trainer I,2,4.0,1.0,1,50.0,1,50.0
Rolling For Days I,1,3.0,3.0,0,0.0,1,100.0
Build a Bud!,2,2.0,2.0,1,50.0,2,100.0
Birthday Present,2,3.5,1.0,1,50.0,1,50.0
Sleight of Hand,1,2.0,2.0,0,0.0,1,100.0
Pandora's Items III,1,5.0,0.0,0,0.0,0,0.0
Big Grab Bag,1,4.0,4.0,0,0.0,1,100.0
Caretaker's Favor,1,6.0,0.0,0,0.0,0,0.0
Caretaker's Chosen,1,4.0,4.0,0,0.0,1,100.0
Prismatic Ticket,2,2.5,2.5,0,0.0,2,100.0
New Recruit,2,4.0,1.0,1,50.0,1,50.0
Band of Thieves I,1,7.0,0.0,0,0.0,0,0.0
Jeweled Lotus III,3,3.0,2.0,1,33.3,2,66.7
Radiant Relics,2,5.0,2.0,0,0.0,1,50.0
Know Your Enemy,1,6.0,0.0,0,0.0,0,0.0
Silver Veil,1,8.0,0.0,0,0.0,0,0.0
Buried Treasures II,1,2.0,2.0,0,0.0,1,100.0
Three's Company,2,3.5,3.5,0,0.0,2,100.0
Harmacist I,2,5.0,3.0,0,0.0,1,50.0
Healing Orbs II,2,7.5,0.0,0,0.0,0,0.0
Pandora's Items,1,8.0,0.0,0,0.0,0,0.0
Portable Forge,1,7.0,0.0,0,0.0,0,0.0
Harmacist III,1,4.0,4.0,0,0.0,1,100.0
Magic Wand,1,2.0,2.0,0,0.0,1,100.0
Cybernetic Uplink II,1,2.0,2.0,0,0.0,1,100.0
Dynamic Duo,1,3.0,3.0,0,0.0,1,100.0
Porcelain Crest,2,7.0,0.0,0,0.0,0,0.0
Lucky Ricochet,1,7.0,0.0,0,0.0,0,0.0
Mythic Crest,1,1.0,1.0,1,100.0,1,100.0
Inkshadow Crest,1,3.0,3.0,0,0.0,1,100.0
Storyweaver Crown,1,7.0,0.0,0,0.0,0,0.0
Boiling Point,1,7.0,0.0,0,0.0,0,0.0
Porcelain Crown,1,3.0,3.0,0,0.0,1,100.0
Dryad Crown,1,6.0,0.0,0,0.0,0,0.0
Grim Harvest,1,8.0,0.0,0,0.0,0,0.0
Umbral Crown,1,5.0,0.0,0,0.0,0,0.0
Reaper Crown,1,4.0,4.0,0,0.0,1,100.0
Sniper Crown,1,6.0,0.0,0,0.0,0,0.0
