Name,Count,Ave_score,Ave_score_save,Win_count,Win_rate,Save_count,Save_rate
The Boss,0,0,0,0,0,0,0
Unburdened III,0,0,0,0,0,0,0
Vanquisher Heart,0,0,0,0,0,0,0
Protector Crown,0,0,0,0,0,0,0
Ixtal Soul,0,0,0,0,0,0,0
Executioner I,0,0,0,0,0,0,0
Bastion Crown,0,0,0,0,0,0,0
Gadgeteen Spirit,0,0,0,0,0,0,0
Stationary Support I,0,0,0,0,0,0,0
Ionia Heart,0,0,0,0,0,0,0
Gunner Crown,0,0,0,0,0,0,0
Cosmic Wisdom I,0,0,0,0,0,0,0
Noxus Crown,0,0,0,0,0,0,0
Coinpurse II +,0,0,0,0,0,0,0
Chemtech Enhancements,0,0,0,0,0,0,0
Nuts and Bolts II,0,0,0,0,0,0,0
Deadeye Crest,0,0,0,0,0,0,0
Nuts and Bolts III,0,0,0,0,0,0,0
Knowledge Download III+,0,0,0,0,0,0,0
Loving Invocation,0,0,0,0,0,0,0
Nuts and Bolts I,0,0,0,0,0,0,0
Challenger Heart,0,0,0,0,0,0,0
Juggernaut Heart,0,0,0,0,0,0,0
Magical Journey++,0,0,0,0,0,0,0
Double Equipment,0,0,0,0,0,0,0
Guild of Thieves,0,0,0,0,0,0,0
Patient Study I,0,0,0,0,0,0,0
Vanquisher Crown,0,0,0,0,0,0,0
High-End Shopping I,0,0,0,0,0,0,0
Patient Study III,0,0,0,0,0,0,0
Tactical Superiority,0,0,0,0,0,0,0
Sorcerer Crown,0,0,0,0,0,0,0
Pumping Up I,0,0,0,0,0,0,0
Coinpurse I +,0,0,0,0,0,0,0
Rejuvenating Flames,0,0,0,0,0,0,0
Freljord Crest,0,0,0,0,0,0,0
Slayer Heart,0,0,0,0,0,0,0
Piltover Heart,0,0,0,0,0,0,0
Think Inside The Box I,0,0,0,0,0,0,0
Stable Evolution,0,0,0,0,0,0,0
Mercury Cannon: Overdrive,0,0,0,0,0,0,0
Void Heart,0,0,0,0,0,0,0
Shadow Isles Soul,0,0,0,0,0,0,0
Haunted Shell,0,0,0,0,0,0,0
Gunner Crest,0,0,0,0,0,0,0
Magical Journey,0,0,0,0,0,0,0
Superstars,0,0,0,0,0,0,0
Dueling Gunners,0,0,0,0,0,0,0
Amplify III,0,0,0,0,0,0,0
Amplify II,0,0,0,0,0,0,0
Think Inside The Box II,0,0,0,0,0,0,0
Amplify I,0,0,0,0,0,0,0
Think Inside The Box III,0,0,0,0,0,0,0
