apiName,associatedTraits,composition,desc,effects,name
TFT9_Augment_SettTheBoss,"['TFT9_Ionia', 'TFT9_Armorclad']",[],"Gain a Sett. The first time your strongest Sett falls below @Threshold*100@% Health, he takes a break to do sit-ups. Each sit-up heals him @HealRatio*100@% of his max Health and grants @AttackSpeedRatio*100@% Attack Speed and @AbilityPowerRatio@ Ability Power.","{'AbilityPowerRatio': 40.0, 'AttackSpeedRatio': 0.4000000059604645, 'HealRatio': 0.10000000149011612, 'Threshold': 0.6000000238418579}",The Boss
TFT9_Augment_AirspeedVelocity3,[],[],Your units without items equipped gain @AttackSpeed*100@% Attack Speed.,{'AttackSpeed': 0.75},Unburdened III
TFT9_Augment_VanquisherTrait,['Set9b_Vanquisher'],[],Your team counts as having 1 additional Vanquisher. Gain an Ashe.,{},Vanquisher Heart
TFT9_Augment_ProtectorEmblem2,['TFT9_DefTrait'],[],"Gain a Protector Emblem, a Hextech Gunblade, and a Yone.",{},Protector Crown
TFT9_Augment_IxtalTrait2,['Set9_Ixtal'],[],Your team counts as having 1 additional Ixtal. Gain a Crownguard and a Neeko.,{},Ixtal Soul
TFT9_Augment_Executioner,[],[],Your units execute enemies below @Healththreshold@% Health on hit. Executions have a @GoldChance@% chance to generate @goldgenerated@ gold.,"{'GoldChance': 10.0, 'HealthThreshold': 5.0, 'goldgenerated': 1.0}",Executioner I
TFT9_Augment_BastionEmblem2,['TFT9_Bastion'],[],"Gain a Bastion Emblem,  a Sunfire Cape, and a Taric.",{},Bastion Crown
TFT9_Augment_GadgeteenSpirit,[],[],Combat start: Distribute @numitems@ temporary items to the champions with the fewest items.,"{'NumItems': 1.0, '{a416e152}': 1.0}",Gadgeteen Spirit
TFT9_Augment_StationarySupport1HR,[],[],"After @PlayerCombatRounds@ player combats, gain @NumOfDummies@ Training Dummy(s) with @NumOfItems@ permanently attached Support item(s).","{'NumOfDummies': 1.0, 'NumOfItems': 1.0, 'PlayerCombatRounds': 4.0}",Stationary Support I
TFT9_Augment_IoniaTrait,['TFT9_Ionia'],[],Your team counts as having 1 additional Ionia. Gain a Sett.,{},Ionia Heart
TFT9_Augment_MarksmanEmblem2,['TFT9_Marksman'],[],"Gain a Gunner Emblem, a Runaan's Hurricane, and a Jayce.",{},Gunner Crown
TFT9_Augment_CosmicWisdom,[],[],"Buying experience now costs @InitialCost@ gold. Every time you buy experience this turn, increase the cost by @increase@ to a max of @MaxCost@. You can now reach level 10.","{'InitialCost': 2.0, 'MaxCost': 4.0, 'increase': 1.0}",Cosmic Wisdom I
TFT9_Augment_NoxusEmblem2,['TFT9_Noxus'],[],"Gain a Noxus Emblem, a Sparring Gloves, and a Darius.",{},Noxus Crown
TFT9_Augment_Commander_Coinpurse2plus,[],[],Gain @AugmentGold@ gold.,{'AugmentGold': 20.0},Coinpurse II +
TFT9_Augment_ZaunChemicallyEnhancedBulk,['TFT9_Zaun'],[],Your units with Zaun's chem-mods gain @BonusHP@ Health. Allies that start combat adjacent to them gain @SharedHP@ Health. Gain 2 Zaun units.,"{'BonusHP': 500.0, 'SharedHP': 250.0}",Chemtech Enhancements
TFT9_Augment_Commander_NutsAndBolts2,[],[],Gain @NumComponents@ item component(s) and @numreforgers@ Reforger(s).,"{'NumComponents': 2.0, 'NumReforgers': 1.0}",Nuts and Bolts II
TFT9_Augment_DeadeyeEmblem,['TFT9_Deadeye'],[],Gain a Deadeye Emblem and an Ashe.,{},Deadeye Crest
TFT9_Augment_Commander_NutsAndBolts3,[],[],Gain @NumComponents@ item component(s) and @numreforgers@ Reforger(s).,"{'NumComponents': 3.0, 'NumReforgers': 1.0}",Nuts and Bolts III
TFT9_Augment_Commander_Experience3Plus,[],[],Gain @Experience@ XP.,{'Experience': 36.0},Knowledge Download III+
TFT9_Augment_InvokerLovingInvocation,['TFT9_Preserver'],[],Your team gains @BonusAP@ Ability Power until the end of combat each time your Invokers cast their Abilities. Gain 2 Invokers.,{'BonusAP': 2.0},Loving Invocation
TFT9_Augment_Commander_NutsAndBolts1,[],[],Gain @NumComponents@ item component(s) and @numreforgers@ Reforger(s).,"{'NumComponents': 1.0, 'NumReforgers': 1.0}",Nuts and Bolts I
TFT9_Augment_ChallengerTrait,['TFT9_Challenger'],[],Your team counts as having 1 additional Challenger. Gain a Warwick.,{},Challenger Heart
TFT9_Augment_ArmorcladTrait,['TFT9_Armorclad'],[],Your team counts as having 1 additional Juggernaut. Gain a Sett.,{},Juggernaut Heart
TFT9_Augment_MagicalJourneyPlusPlus,[],[],"After each carousel, randomly gain @XP@ XP or @Rerolls@ free rerolls. Then, randomly gain one of these effects again.","{'Rerolls': 4.0, 'XP': 6.0}",Magical Journey++
TFT9_Augment_DoubleEquipment,[],[],Gain two copies of a random component.,{},Double Equipment
TFT9_Augment_GuildOfThieves,[],[],"Your champions always have Thieves' Gloves. Your current items are removed, and whenever you would gain an item, you instead gain @GoldAmount@ gold. ",{'GoldAmount': 1.0},Guild of Thieves
TFT9_Augment_LearningFromExperience1,[],[],"After player combat, gain @winxp@ XP if you won or @lossxp@ XP if you lost.","{'lossxp': 2.0, 'winxp': 1.0}",Patient Study I
TFT9_Augment_VanquisherEmblem2,['Set9b_Vanquisher'],[],"Gain a Vanquisher Emblem, a Hand of Justice, and a Darius.",{},Vanquisher Crown
TFT9_Augment_MediumEndShopping,[],[],Champions appear in the first @NumLeveledUpShops@ slots of your shop as if you were 1 level higher. Gain @Gold@ gold.,"{'Gold': 1.0, 'NumLeveledUpShops': 3.0}",High-End Shopping I
TFT9_Augment_LearningFromExperience3,[],[],"After player combat, gain @winxp@ XP if you won or @lossxp@ XP if you lost.","{'lossxp': 6.0, 'winxp': 3.0}",Patient Study III
TFT9_Augment_StrategistTacticalSuperiority,['TFT9_Strategist'],[],"Your champions gain @BonusAD*100@% Attack Damage and Ability Power for each of their active traits, doubled when you field a Strategist. Gain 2 Strategists.","{'BonusAD': 0.03999999910593033, 'BonusAP': 4.0}",Tactical Superiority
TFT9_Augment_SorcererEmblem2,['TFT9_Sorcerer'],[],"Gain a Sorcerer Emblem, a Spear of Shojin, and a Vel'Koz.",{},Sorcerer Crown
TFT9_Augment_PumpingUpHR,[],[],"Your team gains @BaseAS@% Attack Speed now. Each round after, they gain @IncreasePerRound@% more. (current Attack Speed: @TFTUnitProperty.item:TFT9_PumpingUpRounds@%)","{'BaseAS': 5.0, 'IncreasePerRound': 1.0}",Pumping Up I
TFT9_Augment_Commander_Coinpurse1plus,[],[],Gain @AugmentGold@ gold.,{'AugmentGold': 20.0},Coinpurse I +
TFT9_Augment_IxtalRejuvenatingFlames,['Set9_Ixtal'],[],Allies heal for @BaseRegen*100@% of their max Health every @Frequency@ seconds. Allies that started combat in an elemental hex heal for @EnhancedRegen*100@% instead. Gain 2 Ixtal champions.,"{'BaseRegen': 0.07999999821186066, 'EnhancedRegen': 0.15000000596046448, 'Frequency': 5.0}",Rejuvenating Flames
TFT9_Augment_FreljordEmblem,['TFT9_Freljord'],[],Gain a Freljord Emblem and an Ashe.,{},Freljord Crest
TFT9_Augment_SlayerTrait,['TFT9_Slayer'],[],Your team counts as having 1 additional Slayer. Gain a Qiyana.,{},Slayer Heart
TFT9_Augment_PiltoverTrait,['TFT9_Piltover'],[],Your team counts as having 1 additional Piltover. Gain a Vi.,{},Piltover Heart
TFT9_Augment_ThinkInsideTheBox,[],[],Units that don't start combat on the edge of your board gain @AP*100@% Ability Power and @Health@ Health. ,"{'AP': 0.15000000596046448, 'Health': 75.0}",Think Inside The Box I
TFT9_Augment_VoidRapidIncubation,['TFT9_Void'],[],Your Void units gain @bonushealth@ Health and @BonusStats@% Attack Damage and Ability Power for each star level they have. Gain 2 Void units.,"{'BonusHealth': 60.0, 'BonusStats': 6.0}",Stable Evolution
TFT9_Augment_JayceCarry,"['TFT9_Piltover', 'TFT9_Marksman']",[],Gain a Jayce.Your strongest Jayce replaces his attacks with his Shock Blast for the duration of his Ability.,{},Mercury Cannon: Overdrive
TFT9_Augment_VoidTrait,['TFT9_Void'],[],Your team counts as having 1 additional Void. Gain a Kassadin.,{},Void Heart
TFT9_Augment_ShadowIslesTrait2,['TFT9_ShadowIsles'],[],Your team counts as having 1 additional Shadow Isles. Gain a Titan's Resolve and a Viego.,{},Shadow Isles Soul
TFT9_Augment_ShadowIslesHauntedShell,['TFT9_ShadowIsles'],[],"If Shadow Isles is active, your units gain @StackingResistances@ Armor and Magic Resistance for the rest of combat each time an ally dies. Gain 2 Shadow Isles units.",{'StackingResistances': 13.0},Haunted Shell
TFT9_Augment_MarksmanEmblem,['TFT9_Marksman'],[],Gain a Gunner Emblem and a Jinx.,{},Gunner Crest
TFT9_Augment_MagicalJourney,[],[],"After each carousel, randomly gain @XP@ XP or @Rerolls@ free rerolls. Then, randomly gain one of these effects again.","{'Rerolls': 2.0, 'XP': 2.0}",Magical Journey
TFT9_Augment_Superstars,[],[],"Your units deal @BaseBonusDamage@% more damage, increased by @BonusDamagePer3Star@% for every 3-star champion on your team.","{'BaseBonusDamage': 10.0, 'BonusDamagePer3Star': 5.0}",Superstars
TFT9_Augment_GunnerSpiritOfTheDuelist,['TFT9_Marksman'],[],"Your Gunner units gain @BonusAS*100@% Attack Speed, plus @StackingAS*100@% per Gunner stack. Gain 2 Gunners.","{'BonusAS': 0.07999999821186066, 'StackingAS': 0.019999999552965164}",Dueling Gunners
TFT9_Augment_Commander_Amplify3,[],[],Your Units gain @CritDamage@% Critical Strike Damage.,{'CritDamage': 30.0},Amplify III
TFT9_Augment_Commander_Amplify2,[],[],Your Units gain @CritDamage@% Critical Strike Damage,{'CritDamage': 20.0},Amplify II
TFT9_Augment_ThinkInsideTheBox2,[],[],Units that don't start combat on the edge of your board gain @AP*100@% Ability Power and @Health@ Health. ,"{'AP': 0.20000000298023224, 'Health': 100.0}",Think Inside The Box II
TFT9_Augment_Commander_Amplify1,[],[],Your units gain @CritDamage@% Critical Strike Damage.,{'CritDamage': 10.0},Amplify I
TFT9_Augment_ThinkInsideTheBox3,[],[],Units that don't start combat on the edge of your board gain @AP*100@% Ability Power and @Health@ Health. ,"{'AP': 0.30000001192092896, 'Health': 150.0}",Think Inside The Box III
TFT9_Augment_BilgewaterRisingInfamy,['Set9b_Bilgewater'],[],Round start: Get a level @TFTUnitProperty.trait:TFT9_BilgewaterRisingInfamyAugment_Level@ treasure chest. Your cannon barrages permanently improve future chests. Gain 2 Bilgerats. (Next level: @TFTUnitProperty.trait:TFT9_BilgewaterRisingInfamyAugment_Cannons@ Barrages).,"{'{4218018d}': 90.0, '{4e5d5b1a}': 100.0, '{6440a596}': 90.0, '{723ebcb7}': 100.0, '{872f5162}': 5.0, '{a4ec31c7}': 100.0, '{dce94460}': 65.0, '{eea984d4}': 90.0, '{fbf16f33}': 90.0, '{fdccad91}': 100.0}",Rising Infamy
TFT9_Augment_MarksmanTrait,['TFT9_Marksman'],[],Your team counts as having 1 additional Gunner. Gain a Jinx.,{},Gunner Heart
TFT9_Augment_PiltoverTrait2,['TFT9_Piltover'],[],Your team counts as having 1 additional Piltover. Gain a Giant Slayer and a Jayce.,{},Piltover Soul
TFT9_Augment_SlayerEmblem2,['TFT9_Slayer'],[],"Gain a Slayer Emblem, a Night Harvester, and a Quinn.",{},Slayer Crown
TFT9_Augment_BilgewaterEmblem,['Set9b_Bilgewater'],[],Gain a Bilgewater Emblem and a Twisted Fate.,{},Bilgewater Crest
TFT9_Augment_StrategistTrait2,['TFT9_Strategist'],[],Your team counts as having 1 additional Strategist. Gain an Adaptive Helm and a Swain.,{},Strategist Soul
TFT9_Augment_MulticasterTrait,['TFT9_Multicaster'],[],Your team counts as having 1 additional Multicaster. Gain a Taliyah.,{},Multicaster Heart
TFT9_Augment_ProtectorEmblem,['TFT9_DefTrait'],[],Gain a Protector Emblem and a Yone.,{},Protector Crest
TFT9_Augment_YordleTrait2,['TFT9_BandleCity'],[],Your team counts as having 1 additional Yordle. Gain an Infinity Edge and a Kled.,{},Yordle Soul
TFT9_Augment_YordleUnstableYordlePortal,['TFT9_BandleCity'],[],Round start: Gain a random Yordle or @MinGold@-@MaxGold@ gold (based on current Stage). Gain 3 Yordles now.,"{'MaxGold': 5.0, 'MinGold': 1.0, '{0fb1f1e5}': 0.5, '{4e351fc8}': 0.05000000074505806}",Unstable Yordle Delivery
TFT9_Augment_BastionEmblem,['TFT9_Bastion'],[],Gain a Bastion Emblem and a Kassadin.,{},Bastion Crest
